timestamp,elapsed_ms,session,event,payload
2026-09-09T20:17:37,111,lesson-6a3n-1788965257,tts,"{""turn"": 0, ""words"": 17, ""synth_ms"": 2, ""audio_s"": 5.61, ""cached"": true, ""first_audio_ms"": null, ""timestamps"": false, ""transport"": ""ws""}"
2026-09-09T20:17:37,112,lesson-6a3n-1788965257,speak,"{""turn"": 0, ""kind"": ""system"", ""lang"": ""en"", ""text"": ""Hi! Which language shall we study in? You can say it, or tap it on the screen.""}"
2026-09-09T20:17:41,4464,lesson-6a3n-1788965257,stop,"{""cursor"": {""turn_id"": 0, ""words_heard"": 13, ""text"": ""Hi! Which language shall we study in? You can say it, or tap it on the screen."", ""was_last_item"": true, ""playing"": true}}"
2026-09-09T20:17:41,4478,lesson-6a3n-1788965257,vad_start,"{""turn"": 1, ""stop_ms"": 14.4, ""cursor"": {""turn_id"": 0, ""words_heard"": 13, ""text"": ""Hi! Which language shall we study in? You can say it, or tap it on the screen."", ""was_last_item"": true, ""playing"": true}}"
2026-09-09T20:17:42,5586,lesson-6a3n-1788965257,transcript,"{""text"": ""And more."", ""lang"": ""en"", ""prob"": 1.0, ""vad_s"": 0.59, ""whisper_ms"": 532, ""cursor"": {""word_index"": 13}, ""since_vad_start_ms"": 1123}"
2026-09-09T20:17:42,5597,lesson-6a3n-1788965257,interrupt,"{""turn"": 1, ""cursor"": null, ""heard"": ""You can say it, or tap it on the screen.""}"
2026-09-09T20:17:42,5613,lesson-6a3n-1788965257,tts,"{""turn"": 1, ""words"": 13, ""synth_ms"": 1, ""audio_s"": 5.37, ""cached"": true, ""first_audio_ms"": null, ""timestamps"": true, ""transport"": ""ws""}"
2026-09-09T20:17:42,5614,lesson-6a3n-1788965257,speak,"{""turn"": 1, ""kind"": ""system"", ""lang"": ""en"", ""text"": ""Lovely. So, what are we learning today, and which class is it for?""}"
2026-09-09T20:17:42,5673,lesson-6a3n-1788965257,graph_turn_done,"{""ms"": 82, ""intent"": null, ""turn"": 1}"
2026-09-09T20:17:43,6533,lesson-6a3n-1788965257,stop,"{""cursor"": {""turn_id"": 1, ""words_heard"": 0, ""text"": ""Lovely. So, what are we learning today, and which class is it for?"", ""was_last_item"": true, ""playing"": true}}"
2026-09-09T20:17:43,6533,lesson-6a3n-1788965257,vad_start,"{""turn"": 2, ""stop_ms"": 0.29, ""cursor"": {""turn_id"": 1, ""words_heard"": 0, ""text"": ""Lovely. So, what are we learning today, and which class is it for?"", ""was_last_item"": true, ""playing"": true}}"
2026-09-09T20:17:44,7477,lesson-6a3n-1788965257,transcript,"{""text"": ""S."", ""lang"": ""en"", ""prob"": 1.0, ""vad_s"": 0.64, ""whisper_ms"": 300, ""cursor"": {""word_index"": 0}, ""since_vad_start_ms"": 944}"
2026-09-09T20:17:44,7486,lesson-6a3n-1788965257,interrupt,"{""turn"": 2, ""cursor"": null, ""heard"": ""Lovely.""}"
2026-09-09T20:17:44,7882,lesson-6a3n-1788965257,stop,"{""cursor"": {""turn_id"": 1, ""words_heard"": null, ""text"": """", ""was_last_item"": true, ""playing"": false}}"
2026-09-09T20:17:44,7883,lesson-6a3n-1788965257,vad_start,"{""turn"": 3, ""stop_ms"": 0.32, ""cursor"": {""turn_id"": 1, ""words_heard"": null, ""text"": """", ""was_last_item"": true, ""playing"": false}}"
2026-09-09T20:17:46,9626,lesson-6a3n-1788965257,transcript,"{""text"": ""We'll study in English."", ""lang"": ""en"", ""prob"": 1.0, ""vad_s"": 1.43, ""whisper_ms"": 310, ""cursor"": null, ""since_vad_start_ms"": 1743}"
2026-09-09T20:17:46,9949,lesson-6a3n-1788965257,speak,"{""turn"": 2, ""kind"": ""system"", ""lang"": ""en"", ""text"": ""Sorry, I didn't get the topic. What would you like to study?""}"
2026-09-09T20:17:47,9964,lesson-6a3n-1788965257,graph_turn_done,"{""ms"": 2482, ""intent"": null, ""turn"": 2}"
2026-09-09T20:17:47,9978,lesson-6a3n-1788965257,interrupt,"{""turn"": 3, ""cursor"": null, ""heard"": ""What would you like to study?""}"
2026-09-09T20:17:48,11503,lesson-6a3n-1788965257,tts,"{""turn"": 3, ""words"": 15, ""synth_ms"": 1518, ""audio_s"": 4.41, ""cached"": false, ""first_audio_ms"": 419, ""timestamps"": true, ""transport"": ""ws"", ""streamed"": true, ""status"": ""done""}"
2026-09-09T20:17:48,11503,lesson-6a3n-1788965257,speak,"{""turn"": 3, ""kind"": ""system"", ""lang"": ""en"", ""text"": ""We'll in English, got it. Give me a moment while I get the lesson ready.""}"
2026-09-09T20:17:50,13534,lesson-6a3n-1788965257,ingest,"{""sections"": 5, ""lesson_sections"": 5, ""beats"": 14, ""upfront"": 1, ""background"": 4}"
2026-09-09T20:17:57,20017,lesson-6a3n-1788965257,tts,"{""turn"": 3, ""words"": 53, ""synth_ms"": 6441, ""audio_s"": 23.53, ""cached"": false, ""first_audio_ms"": 418, ""timestamps"": true, ""transport"": ""ws"", ""streamed"": true, ""status"": ""done""}"
2026-09-09T20:17:57,20017,lesson-6a3n-1788965257,speak,"{""turn"": 3, ""kind"": ""lesson"", ""lang"": ""en"", ""text"": ""Let's begin. Today's lesson is We'll Meet Again. \""We'll Meet Again\"" is a 1939 song with music and lyrics composed and written by English songwriters Ross Parker and Hughie Charles. It was first recorded on September 28, 1939 by English singer Dame Vera Margaret Lewis, better known as Vera Lynn, with Arthur Young.""}"
2026-09-09T20:17:57,20033,lesson-6a3n-1788965257,graph_turn_done,"{""ms"": 10063, ""intent"": null, ""turn"": 3}"
2026-09-09T20:18:15,38366,lesson-6a3n-1788965257,playback_confirmed,"{""turn"": 3}"
2026-09-09T20:18:18,41006,lesson-6a3n-1788965257,tts,"{""turn"": 3, ""words"": 29, ""synth_ms"": 2633, ""audio_s"": 8.57, ""cached"": false, ""first_audio_ms"": 403, ""timestamps"": true, ""transport"": ""ws"", ""streamed"": true, ""status"": ""done""}"
2026-09-09T20:18:18,41007,lesson-6a3n-1788965257,speak,"{""turn"": 3, ""kind"": ""lesson"", ""lang"": ""en"", ""text"": ""The song is one of the most famous of the World War II era, resonating with servicemen going off to fight as well as their families and loved ones.""}"
2026-09-09T20:18:24,47461,lesson-6a3n-1788965257,playback_confirmed,"{""turn"": 3}"
2026-09-09T20:18:31,54149,lesson-6a3n-1788965257,tts,"{""turn"": 3, ""words"": 60, ""synth_ms"": 6676, ""audio_s"": 23.69, ""cached"": false, ""first_audio_ms"": 419, ""timestamps"": true, ""transport"": ""ws"", ""streamed"": true, ""status"": ""done""}"
