timestamp,elapsed_ms,session,event,payload
2026-09-08T17:02:35,6440,local-1788867148,tts,"{""turn"": 0, ""words"": 10, ""synth_ms"": 0, ""audio_s"": 2.89, ""cached"": true}"
2026-09-08T17:02:35,6440,local-1788867148,speak,"{""turn"": 0, ""kind"": ""system"", ""lang"": ""en"", ""text"": ""Great. What shall we study today, and for which class?""}"
2026-09-08T17:02:38,9703,local-1788867148,playback_confirmed,"{""turn"": 0}"
2026-09-08T17:02:41,12543,local-1788867148,stop,"{""cursor"": {""turn_id"": 0, ""words_heard"": null, ""text"": """", ""was_last_item"": true, ""playing"": false}}"
2026-09-08T17:02:41,12558,local-1788867148,vad_start,"{""turn"": 1, ""stop_ms"": 14.91, ""cursor"": {""turn_id"": 0, ""words_heard"": null, ""text"": """", ""was_last_item"": true, ""playing"": false}}"
2026-09-08T17:02:44,15970,local-1788867148,transcript,"{""text"": ""What did you ask?"", ""lang"": ""en"", ""prob"": 0.74, ""vad_s"": 1.21, ""whisper_ms"": 2221, ""cursor"": null, ""since_vad_start_ms"": 3427}"
2026-09-08T17:02:44,15976,local-1788867148,interrupt,"{""turn"": 1, ""cursor"": null, ""heard"": ""What shall we study today, and for which class?""}"
2026-09-08T17:02:44,15993,local-1788867148,tts,"{""turn"": 1, ""words"": 8, ""synth_ms"": 0, ""audio_s"": 2.33, ""cached"": true}"
2026-09-08T17:02:44,15993,local-1788867148,speak,"{""turn"": 1, ""kind"": ""system"", ""lang"": ""en"", ""text"": ""Got it. And which class is this for?""}"
2026-09-08T17:02:44,16007,local-1788867148,graph_turn_done,"{""ms"": 35, ""intent"": null, ""turn"": 1}"
2026-09-08T17:02:47,18342,local-1788867148,playback_confirmed,"{""turn"": 1}"
2026-09-08T17:02:50,21110,local-1788867148,stop,"{""cursor"": {""turn_id"": 1, ""words_heard"": null, ""text"": """", ""was_last_item"": true, ""playing"": false}}"
2026-09-08T17:02:50,21110,local-1788867148,vad_start,"{""turn"": 2, ""stop_ms"": 0.15, ""cursor"": {""turn_id"": 1, ""words_heard"": null, ""text"": """", ""was_last_item"": true, ""playing"": false}}"
2026-09-08T17:02:54,25156,local-1788867148,transcript,"{""text"": ""I didn't understand the question."", ""lang"": ""en"", ""prob"": 0.85, ""vad_s"": 1.76, ""whisper_ms"": 2285, ""cursor"": null, ""since_vad_start_ms"": 4046}"
2026-09-08T17:02:54,25162,local-1788867148,interrupt,"{""turn"": 2, ""cursor"": null, ""heard"": ""And which class is this for?""}"
2026-09-08T17:02:54,25166,local-1788867148,tts,"{""turn"": 2, ""words"": 10, ""synth_ms"": 1, ""audio_s"": 2.41, ""cached"": true}"
2026-09-08T17:02:54,25166,local-1788867148,speak,"{""turn"": 2, ""kind"": ""system"", ""lang"": ""en"", ""text"": ""Give me a moment while I get the lesson ready.""}"
2026-09-08T17:02:55,26519,local-1788867148,ingest,"{""sections"": 6, ""lesson_sections"": 6, ""beats"": 14, ""upfront"": 1, ""background"": 5}"
